product_id,week,consumption,stock_level,rupture_flag
SKU-1047,1,9.4,99.81,0
SKU-1047,2,9.44,90.37,0
SKU-1047,3,9.87,80.5,0
SKU-1047,4,10.61,69.89,0
SKU-1047,5,7.56,62.33,0
SKU-1047,6,10.34,133.9,0
SKU-1047,7,9.42,124.48,0
SKU-1047,8,10.11,114.36,0
SKU-1047,9,8.35,106.01,0
SKU-1047,10,8.31,97.7,0
SKU-1047,11,9.39,88.31,0
SKU-1047,12,10.01,78.3,0
SKU-1047,13,7.85,70.44,0
SKU-1047,14,8.67,61.78,0
SKU-1047,15,7.89,135.8,0
SKU-1047,16,9.47,126.33,0
SKU-1047,17,11.01,115.32,0
SKU-1047,18,8.73,106.59,0
SKU-1047,19,9.82,96.77,0
SKU-1047,20,9.18,87.59,0
SKU-1047,21,9.42,78.17,0
SKU-1047,22,8.47,69.7,0
SKU-1047,23,9.7,60.0,0
SKU-1047,24,8.86,133.05,0
SKU-1047,25,10.81,122.24,0
SKU-1047,26,8.56,113.68,0
SKU-1047,27,10.02,103.66,0
SKU-1047,28,10.99,92.67,0
SKU-1047,29,10.22,82.45,0
SKU-1047,30,8.17,74.28,0
SKU-1047,31,8.08,66.2,0
SKU-1047,32,9.5,56.7,0
SKU-1047,33,9.12,129.48,0
SKU-1047,34,9.56,119.92,0
SKU-1047,35,10.23,109.7,0
SKU-1047,36,9.14,100.55,0
SKU-1047,37,8.44,92.11,0
SKU-1047,38,9.26,82.85,0
SKU-1047,39,10.54,72.31,0
SKU-1047,40,9.09,63.21,0
SKU-1047,41,11.16,133.96,0
SKU-1047,42,9.92,124.03,0
SKU-1047,43,9.83,114.2,0
SKU-1047,44,8.52,105.68,0
SKU-1047,45,8.94,96.74,0
SKU-1047,46,9.57,87.18,0
SKU-1047,47,9.03,78.15,0
SKU-1047,48,10.29,67.86,0
SKU-1047,49,9.27,58.59,0
SKU-1047,50,8.48,132.02,0
SKU-1047,51,9.4,122.61,0
SKU-1047,52,8.74,113.87,0
SKU-1047,53,9.77,104.1,0
SKU-1047,54,8.6,95.51,0
SKU-1047,55,10.92,84.59,0
SKU-1047,56,7.65,76.94,0
SKU-1047,57,8.79,68.15,0
SKU-1047,58,9.3,58.85,0
SKU-1047,59,8.65,132.12,0
SKU-1047,60,6.92,125.2,0
SKU-1047,61,11.02,114.18,0
SKU-1047,62,9.87,104.31,0
SKU-1047,63,7.93,96.38,0
SKU-1047,64,8.07,88.31,0
SKU-1047,65,7.72,80.59,0
SKU-1047,66,9.02,71.57,0
SKU-1047,67,10.6,60.98,0
SKU-1047,68,8.87,134.01,0
SKU-1047,69,8.71,125.3,0
SKU-1047,70,10.1,115.2,0
SKU-1047,71,9.47,105.73,0
SKU-1047,72,9.1,96.62,0
SKU-1047,73,9.88,86.75,0
SKU-1047,74,7.43,79.31,0
SKU-1047,75,9.62,69.69,0
SKU-1047,76,10.42,59.28,0
SKU-1047,77,7.95,133.23,0
SKU-1047,78,8.8,124.43,0
SKU-1047,79,7.26,117.18,0
SKU-1047,80,8.74,108.44,0
SKU-1047,81,8.53,99.91,0
SKU-1047,82,10.83,89.08,0
SKU-1047,83,8.71,80.36,0
SKU-1047,84,9.45,70.91,0
SKU-1047,85,9.214174757281553,60.43,0
SKU-1047,86,7.03,135.32,0
SKU-1047,87,9.29,126.03,0
SKU-1047,88,8.08,117.95,0
SKU-1047,89,8.1,109.84,0
SKU-1047,90,8.32,101.52,0
SKU-1047,91,8.68,92.85,0
SKU-1047,92,8.15,84.7,0
SKU-1047,93,8.75,75.94,0
SKU-1047,94,10.1,65.84,0
SKU-1047,95,9.63,56.21,0
SKU-1047,96,11.82,126.3,0
SKU-1047,97,9.34,116.96,0
SKU-1047,98,9.74,107.22,0
SKU-1047,99,10.39,96.84,0
SKU-1047,100,8.0,88.84,0
SKU-1047,101,10.36,78.47,0
SKU-1047,102,8.2,70.28,0
SKU-1047,103,9.57,60.7,0
SKU-1047,104,10.05,132.56,0
SKU-1638,1,7.22,85.1,0
SKU-1638,2,8.82,76.27,0
SKU-1638,3,9.13,67.14,0
SKU-1638,4,8.04,59.1,0
SKU-1638,5,9.55,49.55,0
SKU-1638,6,10.98,107.81,0
SKU-1638,7,8.19,99.62,0
SKU-1638,8,10.44,89.18,0
SKU-1638,9,9.72,79.46,0
SKU-1638,10,7.79,71.66,0
SKU-1638,11,8.77,62.89,0
SKU-1638,12,9.48,53.42,0
SKU-1638,13,10.86,111.8,0
SKU-1638,14,10.04,101.75,0
SKU-1638,15,8.49,93.26,0
SKU-1638,16,9.62,83.65,0
SKU-1638,17,6.28,77.37,0
SKU-1638,18,10.15,67.22,0
SKU-1638,19,8.41,58.81,0
SKU-1638,20,8.1,50.71,0
SKU-1638,21,8.88,111.07,0
SKU-1638,22,7.91,103.17,0
SKU-1638,23,9.0,94.16,0
SKU-1638,24,10.31,83.86,0
SKU-1638,25,7.15,76.71,0
SKU-1638,26,9.13,67.58,0
SKU-1638,27,9.04,58.54,0
SKU-1638,28,9.75,48.79,0
SKU-1638,29,9.01,109.02,0
SKU-1638,30,10.2,98.82,0
SKU-1638,31,10.63,88.19,0
SKU-1638,32,10.29,77.9,0
SKU-1638,33,8.45,69.45,0
SKU-1638,34,11.24,58.22,0
SKU-1638,35,8.01,50.2,0
SKU-1638,36,9.96,109.49,0
SKU-1638,37,10.42,99.07,0
SKU-1638,38,11.39,87.68,0
SKU-1638,39,10.27,77.41,0
SKU-1638,40,8.43,68.98,0
SKU-1638,41,10.18,58.81,0
SKU-1638,42,9.08,49.73,0
SKU-1638,43,10.37,108.6,0
SKU-1638,44,9.42,99.18,0
SKU-1638,45,10.71,88.47,0
SKU-1638,46,9.25,79.22,0
SKU-1638,47,10.2,69.02,0
SKU-1638,48,8.58,60.44,0
SKU-1638,49,10.45,49.99,0
