product_id,archetype,unit_price,annual_qty,annual_value,criticality,substitutability,avg_lead_time,lead_time_std,nb_suppliers,demand_variability,stockout_history,abc_class
SKU-1047,expensive_strategic,49971.42,471,23536538.82,4.0,1,42.2,5.5,3,0.108,1.0,A
SKU-1638,expensive_strategic,49216.66,476,23427130.16,5.0,1,35.3,7.1,3,0.114,2.0,A
SKU-3172,expensive_strategic,47616.61,491,23379755.51,4.0,1,36.2,7.9,2,0.195,2.0,A
SKU-0562,expensive_strategic,47459.89,491,23302805.99,4.0,1,30.5,6.6,3,0.167,2.0,A
SKU-0058,expensive_strategic,46238.92,499,23073221.08,4.0,1,23.6,3.6,3,0.13,0.0,A
SKU-3227,expensive_strategic,43552.63,496,21602104.48,4.0,1,15.3,9.8,3,0.061,2.0,A
SKU-3050,expensive_strategic,48767.49,439,21408928.11,4.0,2,30.5,9.8,2,0.073,2.0,A
SKU-2290,expensive_strategic,49896.57,428,21355731.96,5.0,1,30.5,9.2,3,0.118,2.0,A
SKU-2324,expensive_strategic,47321.95,451,21342199.45,5.0,2,16.9,9.1,3,0.131,0.0,A
SKU-1738,expensive_strategic,48106.06,442,21262878.52,4.0,1,20.1,9.9,3,0.059,0.0,A
SKU-0745,expensive_strategic,45854.27,463,21230527.01,4.0,2,24.3,3.8,2,0.05,0.0,A
SKU-1556,expensive_strategic,45889.5,459,21063280.5,5.0,1,40.5,3.1,2,0.121,1.0,A
SKU-2207,expensive_strategic,42110.68,497,20929007.96,5.0,2,44.2,8.3,3,0.197,2.0,A
SKU-1809,expensive_strategic,44701.39,463,20696743.57,5.0,2,30.5,4.3,3,0.063,1.0,A
SKU-3054,expensive_strategic,46756.02,442,20666160.84,4.0,2,30.3,4.9,2,0.149,1.0,A
SKU-3347,expensive_strategic,48999.33,420,20579718.6,5.0,2,28.9,8.1,2,0.099,2.0,A
SKU-1359,expensive_strategic,41302.16,496,20485871.36,5.0,2,35.0,7.9,3,0.197,2.0,A
SKU-3246,expensive_strategic,45720.17,448,20482636.16,5.0,1,35.3,6.9,2,0.138,1.0,A
SKU-1731,expensive_strategic,47248.69,433,20458682.77,4.0,1,38.3,6.0,2,0.151,1.0,A
SKU-2286,expensive_strategic,41154.06,497,20453567.82,4.0,2,37.5,9.4,3,0.087,2.0,A
SKU-3160,expensive_strategic,41151.99,495,20370235.05,5.0,1,36.1,3.2,2,0.17,0.0,A
SKU-3349,expensive_strategic,48915.11,416,20348685.76,5.0,1,20.8,7.9,2,0.128,1.0,A
SKU-2982,expensive_strategic,45562.49,446,20320870.54,4.0,1,34.8,9.8,3,0.07,1.0,A
SKU-1232,expensive_strategic,46120.83,439,20247044.37,4.0,2,25.7,7.0,3,0.193,2.0,A
SKU-0927,expensive_strategic,46321.62,435,20149904.7,4.0,2,15.6,6.4,2,0.15,1.0,A
SKU-1752,expensive_strategic,41544.58,483,20066032.14,4.0,1,17.1,5.9,3,0.134,2.0,A
SKU-3230,expensive_strategic,45166.27,441,19918325.07,4.0,1,35.5,5.6,3,0.085,2.0,A
SKU-2768,expensive_strategic,40187.04,488,19611275.52,4.0,2,35.0,3.4,3,0.123,0.0,A
SKU-1703,expensive_strategic,48188.84,396,19082780.64,4.0,1,41.4,7.1,2,0.108,1.0,A
SKU-0598,expensive_strategic,39744.03,480,19077134.4,4.0,1,22.7,7.6,2,0.079,1.0,A
SKU-1614,expensive_strategic,49052.38,386,18934218.68,5.0,2,31.9,6.0,2,0.085,0.0,A
SKU-3061,expensive_strategic,42617.55,440,18751722.0,4.0,2,39.6,7.6,2,0.118,0.0,A
SKU-0503,expensive_strategic,47108.72,396,18655053.12,4.0,2,29.5,6.6,2,0.166,1.0,A
SKU-0703,expensive_strategic,47792.36,387,18495643.32,5.0,1,24.2,8.5,2,0.088,2.0,A
SKU-3073,expensive_strategic,37611.58,481,18091169.98,4.0,1,32.0,8.6,2,0.07,0.0,A
SKU-1625,expensive_strategic,41770.73,433,18086726.09,5.0,2,39.0,4.9,3,0.062,2.0,A
SKU-0622,expensive_strategic,46149.88,390,17998453.2,4.0,1,20.6,7.4,3,0.171,1.0,A
SKU-1969,expensive_strategic,49634.35,354,17570559.9,4.0,1,24.7,6.7,2,0.107,0.0,A
SKU-1043,expensive_strategic,48783.98,360,17562232.8,5.0,1,32.0,3.3,3,0.073,2.0,A
SKU-3079,expensive_strategic,49462.51,352,17410803.52,4.0,1,15.1,6.3,3,0.097,2.0,A
SKU-2881,expensive_strategic,40081.15,431,17274975.65,5.0,1,30.5,6.6,3,0.153,2.0,A
SKU-2218,expensive_strategic,35177.26,490,17236857.4,4.0,2,44.2,6.3,2,0.165,0.0,A
SKU-3145,expensive_strategic,40906.91,420,17180902.2,4.0,2,35.3,7.0,3,0.181,2.0,A
SKU-1528,expensive_strategic,38578.57,443,17090306.51,4.0,2,29.7,8.2,3,0.199,0.0,A
SKU-1222,expensive_strategic,40864.44,411,16795284.84,5.0,1,36.0,4.8,2,0.108,0.0,A
SKU-0784,expensive_strategic,41367.07,404,16712296.28,5.0,1,26.8,7.8,2,0.097,1.0,A
SKU-2941,expensive_strategic,40838.0,407,16621066.0,4.0,1,34.4,3.5,2,0.069,0.0,A
SKU-2144,expensive_strategic,34479.9,481,16584831.9,4.0,2,38.5,3.8,3,0.11,0.0,A
SKU-3203,expensive_strategic,48165.74,344,16569014.56,4.0,1,26.9,3.2,3,0.069,0.0,A
SKU-0601,expensive_strategic,45565.11,362,16494569.82,4.0,2,40.1,7.6,3,0.155,0.0,A
SKU-1766,expensive_strategic,41814.94,393,16433271.42,4.0,2,33.2,3.6,3,0.128,2.0,A
SKU-1754,expensive_strategic,35176.1,467,16427238.7,5.0,1,24.6,4.2,3,0.055,1.0,A
SKU-1885,expensive_strategic,38528.27,425,16374514.75,4.0,2,44.4,5.2,3,0.128,2.0,A
SKU-2093,expensive_strategic,44666.24,366,16347843.84,5.0,2,39.2,7.5,3,0.162,0.0,A
SKU-3194,expensive_strategic,40712.99,401,16325908.99,5.0,2,28.2,6.6,2,0.176,1.0,A
SKU-2920,expensive_strategic,43223.52,377,16295267.04,5.0,1,32.4,5.4,3,0.055,1.0,A
SKU-1220,expensive_strategic,45254.25,360,16291530.0,4.0,1,30.3,4.7,3,0.057,2.0,A
SKU-0731,expensive_strategic,43890.38,368,16151659.84,4.0,2,20.3,6.0,2,0.115,1.0,A
SKU-1676,expensive_strategic,42576.35,379,16136436.65,4.0,1,27.5,4.3,3,0.073,0.0,A
SKU-1097,expensive_strategic,36726.55,438,16086228.9,4.0,1,22.8,7.5,2,0.103,1.0,A
SKU-3305,expensive_strategic,40909.56,393,16077457.08,5.0,2,16.7,7.9,3,0.111,1.0,A
SKU-0015,expensive_strategic,46954.52,342,16058445.84,5.0,1,19.2,7.0,3,0.075,2.0,A
SKU-1602,expensive_strategic,40234.31,399,16053489.69,4.0,1,23.7,7.5,2,0.067,2.0,A
SKU-2481,expensive_strategic,40883.9,388,15862953.2,5.0,2,35.5,3.7,3,0.075,1.0,A
SKU-0142,expensive_strategic,49663.16,318,15792884.88,5.0,2,43.8,8.1,3,0.11,2.0,A
SKU-0343,expensive_strategic,33493.04,471,15775221.84,4.0,1,24.5,8.5,2,0.106,1.0,A
SKU-0380,expensive_strategic,33003.63,477,15742731.51,4.0,1,28.6,8.3,3,0.128,1.0,A
SKU-2300,expensive_strategic,33032.17,475,15690280.75,5.0,1,30.0,9.2,2,0.06,1.0,A
SKU-1322,expensive_strategic,48653.45,322,15666410.9,4.0,1,21.4,5.6,3,0.17,1.0,A
SKU-0418,expensive_strategic,44727.04,348,15565009.92,5.0,2,19.7,9.8,2,0.185,1.0,A
SKU-2891,expensive_strategic,49377.96,314,15504679.44,4.0,2,18.5,6.2,2,0.087,2.0,A
SKU-3334,expensive_strategic,37530.5,412,15462566.0,4.0,1,16.7,3.2,3,0.176,0.0,A
SKU-2505,expensive_strategic,34163.65,451,15407806.15,4.0,1,43.4,4.4,3,0.167,2.0,A
SKU-1157,expensive_strategic,42565.93,361,15366300.73,5.0,2,25.5,7.1,2,0.081,2.0,A
SKU-1022,expensive_strategic,42038.94,364,15302174.16,5.0,1,42.6,3.4,3,0.118,2.0,A
SKU-0167,expensive_strategic,45916.37,333,15290151.21,4.0,1,24.7,8.4,3,0.077,1.0,A
SKU-0742,expensive_strategic,31249.98,483,15093740.34,5.0,1,40.0,9.0,2,0.086,2.0,A
SKU-0828,expensive_strategic,39187.46,385,15087172.1,5.0,2,31.6,3.1,3,0.155,2.0,A
SKU-1872,expensive_strategic,35611.95,423,15063854.85,5.0,2,26.4,4.0,3,0.085,1.0,A
SKU-2103,expensive_strategic,44219.39,337,14901934.43,4.0,2,15.7,4.0,2,0.156,0.0,A
SKU-1981,expensive_strategic,30827.54,482,14858874.28,5.0,1,40.9,5.1,3,0.072,0.0,A
SKU-2310,expensive_strategic,36136.91,411,14852270.01,4.0,2,22.7,4.9,2,0.175,1.0,A
SKU-1937,expensive_strategic,30109.65,493,14844057.45,5.0,1,34.4,9.8,3,0.183,0.0,A
SKU-1813,expensive_strategic,35978.42,412,14823109.04,4.0,5,41.6,5.6,3,0.165,0.0,A
SKU-0235,expensive_strategic,39848.88,371,14783934.48,5.0,1,34.7,6.1,2,0.171,1.0,A
SKU-3351,expensive_strategic,32560.32,454,14782385.28,5.0,5,44.8,7.8,3,0.064,2.0,A
SKU-0354,expensive_strategic,33204.67,445,14776078.15,5.0,2,41.2,4.7,3,0.102,0.0,A
SKU-1362,expensive_strategic,45076.72,326,14695010.72,4.0,2,34.4,5.8,1,0.187,2.0,A
SKU-1119,expensive_strategic,42897.47,340,14585139.8,4.0,1,28.0,8.6,2,0.184,1.0,A
SKU-3348,expensive_strategic,34493.32,422,14556181.04,4.0,2,26.2,4.1,2,0.125,2.0,A
SKU-2613,expensive_strategic,45853.99,314,14398152.86,5.0,2,38.7,3.7,2,0.134,1.0,A
